MakeModel,Price,mpg,rep78,rep77,hroom,rseat,trunk,weight,length,turn,displa,gratio,Origin
Ford Fiesta,4389,28,4,.,1.5,26,9,1800,147,33,98,3.15,A
Ford Mustang,4187,21,3,3,2,23,10,2650,179,42,140,3.08,A
Honda Accord,5799,25,5,5,3,25.5,10,2240,172,36,107,3.05,J
Honda Civic,4499,28,4,4,2.5,23.5,5,1760,149,34,91,3.3,J
Linc. Continental,11497,12,3,4,3.5,30.5,22,4840,233,51,400,2.47,A
Linc. Cont Mark V,13594,12,3,4,2.5,28.5,18,4720,230,48,400,2.47,A
Linc. Versailles,13466,14,3,3,3.5,27,15,3830,201,41,302,2.47,A
Mazda GLC,3995,30,4,4,3.5,25.5,11,1980,154,33,86,3.73,J
Merc. Bobcat,3829,22,4,3,3,25.5,9,2580,169,39,140,2.73,A
Merc. Cougar,5379,14,4,3,3.5,29.5,16,4060,221,48,302,2.75,A
Merc. Cougar XR-7,6303,14,4,4,3,25,16,4130,217,45,302,2.75,A
Merc. Marquis,6165,15,3,2,3.5,30.5,23,3720,212,44,302,2.26,A
Merc. Monarch,4516,18,3,.,3,27,15,3370,198,41,250,2.43,A
Merc. Zephyr,3291,20,3,3,3.5,29,17,2830,195,43,140,3.08,A
Olds. 98,8814,21,4,4,4,31.5,20,4060,220,43,350,2.41,A
Olds. Cutlass,4733,19,3,3,4.5,28,16,3300,198,42,231,2.93,A
Olds. Cutl Supr,5172,19,3,4,2,28,16,3310,198,42,231,2.93,A
Olds. Delta 88,5890,18,4,4,4,29,20,3690,218,42,231,2.73,A
Olds. Omega,4181,19,3,3,4.5,27,14,3370,200,43,231,3.08,A
Olds. Starfire,4195,24,1,1,2,25.5,10,2720,180,40,151,2.73,A
Olds. Toronado,10371,16,3,3,3.5,30,17,4030,206,43,350,2.41,A
Peugeot 604 SL,12990,14,.,.,3.5,30.5,14,3420,192,38,163,3.58,E
Plym. Arrow,4647,28,3,3,2,21.5,11,2360,170,37,156,3.05,A
Plym. Champ,4425,34,5,4,2.5,23,11,1800,157,37,86,2.97,A
Plym. Horizon,4482,25,3,.,4,25,17,2200,165,36,105,3.37,A
Plym. Sapporo,6486,26,.,.,1.5,22,8,2520,182,38,119,3.54,A
Plym. Volare,4060,18,2,2,5,31,16,3330,201,44,225,3.23,A
Pont. Catalina,5798,18,4,4,4,29,20,3700,214,42,231,2.73,A
Pont. Firebird,4934,18,1,2,1.5,23.5,7,3470,198,42,231,3.08,A
Pont. Grand Prix,5222,19,3,3,2,28.5,16,3210,201,45,231,2.93,A
Pont. Le Mans,4723,19,3,3,3.5,28,17,3200,199,40,231,2.93,A
Pont. Phoenix,4424,19,.,.,3.5,27,13,3420,203,43,231,3.08,A
Pont. Sunbird,4172,24,2,2,2,25,7,2690,179,41,151,2.73,A
Renault Le Car,3895,26,3,3,3,23,10,1830,142,34,79,3.72,E
Subaru,3798,35,5,4,2.5,25.5,11,2050,164,36,97,3.81,J
Toyota Celica,5899,18,5,5,2.5,22,14,2410,174,36,134,3.06,J
Toyota Corolla,3748,31,5,5,3,24.5,9,2200,165,35,97,3.21,J
Toyota Corona,5719,18,5,5,2,23,11,2670,175,36,134,3.05,J
VW Rabbit,4697,25,4,3,3,25.5,15,1930,155,35,89,3.78,E
VW Rabbit Diesel,5397,41,5,4,3,25.5,15,2040,155,35,90,3.78,E
VW ScirOcco,6850,25,4,3,2,23.5,16,1990,156,36,97,3.78,E
VW Dasher,7140,23,4,3,2.5,37.5,12,2160,172,36,97,3.74,E
Volvo 260,11995,17,5,3,2.5,29.5,14,3170,193,37,163,2.98,E
